"","x"
"1",9.38004742959592
"2",9.76859453106434
"3",9.62989833758718
"4",9.68289512081105
"5",8.80705501873113
"6",8.75415354834247
"7",9.13493074077398
"8",9.20397167846995
"9",9.54966095667833
"10",8.7096586594208
"11",8.77182505360933
"12",9.21748822344722
"13",8.91206806529626
"14",8.80439991218939
"15",9.59264753838871
"16",9.56607838959344
"17",8.98026891209628
"18",8.81133865857809
"19",9.83826680955247
"20",9.5662552340296
"21",9.77003743112923
"22",8.84565328944901
"23",9.347641933882
"24",8.95514124772605
"25",8.94067514009935
"26",9.02232810330161
"27",9.22610695408113
"28",9.20943004391927
"29",9.31464149172726
"30",9.72986727567582
"31",8.9435638201424
"32",9.94014425577268
