"symboling","normalized_losses","fuel_type","aspiration","num_doors","body_style","wheel_drive","engine_location","wheel_base","length","width","height","curb_weight","engine_type","num_cylinders","engine_size","fuel_system","bore","stroke","compression_ratio","horsepower","peak_rpm","city_mpg","highway_mpg"
2,164,"gas","std",4,"sedan","fwd","front",99.8,176.6,66.2,54.3,2337,"ohc",4,109,"mpfi",3.19,3.4,10,102,5500,24,30
1,158,"gas","std",4,"sedan","fwd","front",105.8,192.7,71.4,55.7,2844,"ohc",5,136,"mpfi",3.19,3.4,8.5,110,5500,19,25
2,192,"gas","std",2,"sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc",4,108,"mpfi",3.5,2.8,8.8,101,5800,23,29
0,192,"gas","std",4,"sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc",4,108,"mpfi",3.5,2.8,8.8,101,5800,23,29
1,148,"gas","std",4,"hatchback","fwd","front",93.7,157.3,63.8,50.6,1967,"ohc",4,90,"2bbl",2.97,3.23,9.4,68,5500,31,38
1,101,"gas","std",2,"hatchback","fwd","front",93.7,150,64,52.6,1956,"ohc",4,92,"1bbl",2.91,3.41,9.2,76,6000,30,34
1,129,"gas","std",2,"hatchback","fwd","front",98.8,177.8,66.5,53.7,2385,"ohc",4,122,"2bbl",3.39,3.39,8.6,84,4800,26,32
0,115,"gas","std",4,"hatchback","fwd","front",98.8,177.8,66.5,55.5,2425,"ohc",4,122,"2bbl",3.39,3.39,8.6,84,4800,26,32
0,118,"gas","std",4,"sedan","rwd","front",104.9,175,66.1,54.4,2670,"ohc",4,140,"mpfi",3.76,3.16,8,120,5000,19,27
2,161,"gas","std",2,"hatchback","fwd","front",93.7,157.3,64.4,50.8,1918,"ohc",4,92,"2bbl",2.97,3.23,9.4,68,5500,37,41
2,161,"gas","std",2,"hatchback","fwd","front",93.7,157.3,64.4,50.8,2004,"ohc",4,92,"2bbl",2.97,3.23,9.4,68,5500,31,38
3,153,"gas","turbo",2,"hatchback","fwd","front",96.3,173,65.4,49.4,2370,"ohc",4,110,"spdi",3.17,3.46,7.5,116,5500,23,30
1,103,"gas","std",4,"wagon","fwd","front",94.5,170.2,63.8,53.5,2024,"ohc",4,97,"2bbl",3.15,3.29,9.4,69,5200,31,37
1,128,"gas","std",2,"sedan","fwd","front",94.5,165.3,63.8,54.5,1951,"ohc",4,97,"2bbl",3.15,3.29,9.4,69,5200,31,37
0,108,"gas","std",4,"sedan","fwd","front",100.4,184.6,66.5,55.1,3060,"ohcv",6,181,"mpfi",3.43,3.27,9,152,5200,19,25
0,161,"gas","std",4,"sedan","rwd","front",107.9,186.7,68.4,56.7,3020,"l",4,120,"mpfi",3.46,3.19,8.4,97,5000,19,24
1,119,"gas","turbo",2,"hatchback","fwd","front",93.7,157.3,63.8,50.8,2128,"ohc",4,98,"spdi",3.03,3.39,7.6,102,5500,24,30
1,154,"gas","std",4,"hatchback","fwd","front",93.7,157.3,63.8,50.6,1967,"ohc",4,90,"2bbl",2.97,3.23,9.4,68,5500,31,38
3,186,"gas","std",2,"hatchback","rwd","front",94.5,168.9,68.3,50.2,2778,"ohc",4,151,"mpfi",3.94,3.11,9.5,143,5500,19,27
2,104,"gas","std",4,"sedan","fwd","front",99.1,186.6,66.5,56.1,2695,"ohc",4,121,"mpfi",3.54,3.07,9.3,110,5250,21,28
2,104,"gas","turbo",4,"sedan","fwd","front",99.1,186.6,66.5,56.1,2847,"dohc",4,121,"mpfi",3.54,3.07,9,160,5500,19,26
2,83,"gas","std",2,"hatchback","fwd","front",93.7,157.9,63.6,53.7,2120,"ohcf",4,108,"2bbl",3.62,2.64,8.7,73,4400,26,31
0,85,"gas","turbo",4,"wagon","4wd","front",96.9,173.6,65.4,54.9,2650,"ohcf",4,108,"mpfi",3.62,2.64,7.7,111,4800,23,23
0,81,"gas","std",4,"wagon","4wd","front",95.7,169.7,63.6,59.1,2290,"ohc",4,92,"2bbl",3.05,3.03,9,62,4800,27,32
0,91,"gas","std",4,"hatchback","fwd","front",95.7,166.3,64.4,52.8,2122,"ohc",4,98,"2bbl",3.19,3.03,9,70,4800,28,34
1,168,"gas","std",2,"sedan","rwd","front",94.5,168.7,64,52.6,2169,"ohc",4,98,"2bbl",3.19,3.03,9,70,4800,29,34
1,168,"gas","std",2,"hatchback","rwd","front",94.5,168.7,64,52.6,2300,"dohc",4,98,"mpfi",3.24,3.08,9.4,112,6600,26,29
2,134,"gas","std",2,"hardtop","rwd","front",98.4,176.2,65.6,52,2540,"ohc",4,146,"mpfi",3.62,3.5,9.3,116,4800,24,30
-1,65,"diesel","turbo",4,"sedan","fwd","front",102.4,175.6,66.5,54.9,2480,"ohc",4,110,"idi",3.27,3.35,22.5,73,4500,30,33
3,197,"gas","std",2,"hatchback","rwd","front",102.9,183.5,67.7,52,3016,"dohc",6,171,"mpfi",3.27,3.35,9.3,161,5200,19,24
2,122,"diesel","std",2,"sedan","fwd","front",97.3,171.7,65.5,55.7,2261,"ohc",4,97,"idi",3.01,3.4,23,52,4800,37,46
-1,95,"gas","turbo",4,"sedan","rwd","front",109.1,188.8,68.8,55.5,3049,"ohc",4,141,"mpfi",3.78,3.15,8.7,160,5300,19,25
