"","x"
"1",5859.54810862146
"2",5624.47147715175
"3",5671.75805402868
"4",7663.41777360045
"5",5672.41043612766
"6",5359.6348261727
"7",8547.10274752593
"8",4759.31996404804
"9",5223.22896388925
"10",5583.01835270613
"11",6770.39015097933
"12",8896.19892633364
"13",4304.54455193356
"14",5903.38024671941
"15",6046.55914090024
"16",4229.61382744186
"17",6408.49153394222
"18",5872.91632900761
"19",8361.09384731781
"20",6252.06745647805
"21",5609.00593265841
"22",5018.59941341729
"23",4152.21086815752
"24",3568.2298378929
"25",7524.00089705248
"26",4229.61382744186
"27",5677.40136416463
"28",6258.78519943606
"29",5999.19391186354
"30",5980.47931847765
"31",5135.11656481883
"32",4289.95805273666
"33",3471.31889078359
"34",4571.8640755395
"35",5610.58445795102
"36",3680.03774197742
"37",5473.47333028138
"38",5806.49007184213
"39",4411.42376970696
"40",4278.98439312158
"41",4771.22458195941
"42",6560.34330043448
"43",3642.29516932297
"44",6805.07069234487
"45",4381.15942563678
"46",4978.64340780722
"47",4477.58556375631
"48",4532.58273411087
"49",6384.54620168611
"50",5490.79950930574
"51",3705.99455070267
"52",6164.76970371583
"53",4653.75854102361
"54",4882.14338225918
"55",5127.91152386488
"56",3938.32922039433
"57",6653.03525913311
"58",5066.25324045705
"59",4355.38716971167
"60",9597.31009944947
"61",3563.14529179016
"62",5585.75271696724
"63",8092.63329879672
"64",4301.66368303226
"65",4260.91306027534
"66",4574.75069228145
"67",4285.34210381612
"68",7273.05603197581
"69",6563.7724411404
"70",4910.93588726749
"71",8971.73352508398
"72",4230.14225746068
"73",6210.0037757687
"74",6154.0926845243
"75",4393.85623305071
"76",4029.01691237045
"77",6476.64685395044
"78",4719.51156146434
"79",5837.10716995557
"80",5567.40221063247
"81",6412.02582103131
"82",3528.16659097763
"83",5063.42340909765
"84",4277.64517479908
"85",4301.01896046828
"86",4355.38716971167
"87",5236.32322600298
"88",3731.21107829838
"89",4525.09777706872
"90",4417.12551644247
"91",5773.96071240229
"92",4836.25068533633
"93",3934.51719749695
"94",3889.19109661461
"95",5649.25403401397
"96",4635.25404102056
"97",7789.61879282158
"98",4777.35527583252
"99",3917.84560406663
"100",6183.02536413406
"101",5097.03316056478
"102",5453.19103335907
"103",3938.04079129178
